Internal Tracking Number,Synonym,Name Quality,Substance Name,Registry Name,CAS,TSN,EPA ID,Molecular Formula,Active Status
152918,Phosphorus trichloride,Valid,Phosphorous trichloride,Phosphorus trichloride,7719-12-2,,,Cl3P,Active
152918,Phosphorous chloride,Ambiguous,Phosphorous trichloride,Phosphorus trichloride,7719-12-2,,,Cl3P,Active
153049,Black phosphorus,Valid,Phosphorus,Phosphorus,7723-14-0,,,P,Active
153049,Phosphorus,Valid,Phosphorus,Phosphorus,7723-14-0,,,P,Active
153049,Red phosphorus,Valid,Phosphorus,Phosphorus,7723-14-0,,,P,Active
83147,Thiophosphoric anhydride,Valid,Phosphorus sulfide (P2S5),Phosphorus pentasulfide,1314-80-3,,,P.S,Active
83147,Phosphoric sulfide,Valid,Phosphorus sulfide (P2S5),Phosphorus pentasulfide,1314-80-3,,,P.S,Active
83147,Phosphorus pentasulfide,Valid,Phosphorus sulfide (P2S5),Phosphorus pentasulfide,1314-80-3,,,P.S,Active
83147,Phosphorus persulfide,Valid,Phosphorus sulfide (P2S5),Phosphorus pentasulfide,1314-80-3,,,P.S,Active
180398,Yellow phosphorus,Valid,"Phosphorus, mol. (P4)",Phosphorus (white or yellow),12185-10-3,,,P4,Active
180398,White phosphorus,Valid,"Phosphorus, mol. (P4)",Phosphorus (white or yellow),12185-10-3,,,P4,Active
6825,TEL,Valid,"Plumbane, tetraethyl-",Tetraethyllead,78-00-2,,,C8H20Pb,Active
6825,Tetraethyl lead,Valid,"Plumbane, tetraethyl-",Tetraethyllead,78-00-2,,,C8H20Pb,Active
6825,Lead tetraethyl,Valid,"Plumbane, tetraethyl-",Tetraethyllead,78-00-2,,,C8H20Pb,Active
298943,"2,4-D ester",Valid,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-[(2,4-dichlorophenoxy)acetyl]-.omega.-butoxy-","2,4-D, polypropoxybutyl ester",53467-11-1,,,(C3H6O)nC12H14Cl2O3,Active
40261,Potassium cyanide,Valid,Potassium cyanide (K(CN)),Potassium cyanide,151-50-8,,,CKN,Active
82610,Potassium hydrate,Valid,Potassium hydroxide (K(OH)),Potassium hydroxide,1310-58-3,,,HKO,Active
82610,Potassium hydroxide,Valid,Potassium hydroxide (K(OH)),Potassium hydroxide,1310-58-3,,,HKO,Active
82610,Caustic potash,Valid,Potassium hydroxide (K(OH)),Potassium hydroxide,1310-58-3,,,HKO,Active
82610,Potassa,Valid,Potassium hydroxide (K(OH)),Potassium hydroxide,1310-58-3,,,HKO,Active
7336,iso-Butylamine,Valid,"1-Propanamine, 2-methyl-",Isobutylamine,78-81-9,,,C4H11N,Active
5744,tert-Butylamine,Valid,"2-Propanamine, 2-methyl-",tert-Butylamine,75-64-9,,,C4H11N,Active
7500,"1,1-Dichloropropane",Valid,"Propane, 1,1-dichloro-","1,1-Dichloropropane",78-99-9,,,C3H6Cl2,Active
7393,"1,2-Dichloropropane",Valid,"Propane, 1,2-dichloro-","1,2-Dichloropropane",78-87-5,,,C3H6Cl2,Active
38737,"1,3-Dichloropropane",Valid,"Propane, 1,3-dichloro-","1,3-Dichloropropane",142-28-9,,,C3H6Cl2,Active
240903,Dichloropropane,Valid,"Propane, dichloro-",Dichloropropane,26638-19-7,,,C3H6Cl2,Active
5942,.alpha.-Hydroxyisobutyronitrile,Valid,"Propanenitrile, 2-hydroxy-2-methyl-",Acetone cyanohydrin,75-86-5,,,C4H7NO,Active
5942,Acetone cyanohydrin,Valid,"Propanenitrile, 2-hydroxy-2-methyl-",Acetone cyanohydrin,75-86-5,,,C4H7NO,Active
5942,2-Methyllactonitrile,Valid,"Propanenitrile, 2-hydroxy-2-methyl-",Acetone cyanohydrin,75-86-5,,,C4H7NO,Active
80242,Ammonium ferric citrate,Valid,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium iron(3+) salt (1:?:?)",Ferric ammonium citrate,1185-57-5,,,C6H8O7.xFe.xH3N,Active
80242,Ferric ammonium citrate,Valid,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium iron(3+) salt (1:?:?)",Ferric ammonium citrate,1185-57-5,,,C6H8O7.xFe.xH3N,Active
110270,Citric acid diammonium salt,Valid,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium salt (1:2)",Diammonium citrate,3012-65-5,,,C6H8O7.2H3N,Active
110270,Diammonium citrate,Valid,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium salt (1:2)",Diammonium citrate,3012-65-5,,,C6H8O7.2H3N,Active
110270,Ammonium citrate dibasic,Valid,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium salt (1:2)",Diammonium citrate,3012-65-5,,,C6H8O7.2H3N,Active
7609,Methylacetic acid,Valid,Propanoic acid,Propionic acid,79-09-4,,,C3H6O2,Active
7609,Ethylformic acid,Valid,Propanoic acid,Propionic acid,79-09-4,,,C3H6O2,Active
7609,Propanoic acid,Valid,Propanoic acid,Propionic acid,79-09-4,,,C3H6O2,Active
7609,Propionic acid,Valid,Propanoic acid,Propionic acid,79-09-4,,,C3H6O2,Active
33068,Propanoic anhydride,Valid,"Propanoic acid, 1,1'-anhydride",Propionic anhydride,123-62-6,,,C6H10O3,Active
33068,Methylacetic anhydride,Valid,"Propanoic acid, 1,1'-anhydride",Propionic anhydride,123-62-6,,,C6H10O3,Active
33068,Propionic anhydride,Valid,"Propanoic acid, 1,1'-anhydride",Propionic anhydride,123-62-6,,,C6H10O3,Active
6049,"2,2-Dichloropropionic acid",Valid,"Propanoic acid, 2,2-dichloro-",Dalapon,75-99-0,,,C3H4Cl2O2,Active
6049,Dalapon,Valid,"Propanoic acid, 2,2-dichloro-",Dalapon,75-99-0,,,C3H4Cl2O2,Active
15057,"Propanoic acid, 2-(2,4,5- trichlorophenoxy)-",Valid,"Propanoic acid, 2-(2,4,5-trichlorophenoxy)-",Silvex,93-72-1,,,C9H7Cl3O3,Active
15057,"2,4,5-TP acid",Valid,"Propanoic acid, 2-(2,4,5-trichlorophenoxy)-",Silvex,93-72-1,,,C9H7Cl3O3,Active
262402,"Propanoic acid, 2-(2,4,5- trichlorophenoxy)-, isooctyl ester",Valid,"Propanoic acid, 2-(2,4,5-trichlorophenoxy)-, isooctyl ester",Silvex isooctyl ester,32534-95-5,,,C17H23Cl3O3,Active
7757,iso-Butanoic acid,Valid,"Propanoic acid, 2-methyl-",Isobutyric acid,79-31-2,,,C4H8O2,Active
24224,Vinyl carbinol,Valid,2-Propen-1-ol,Allyl Alcohol,107-18-6,,,C3H6O,Active
24224,1-Propenol-3,Valid,2-Propen-1-ol,Allyl Alcohol,107-18-6,,,C3H6O,Active
24224,2-Propen-1-ol,Valid,2-Propen-1-ol,Allyl Alcohol,107-18-6,,,C3H6O,Active
24224,Allyl alcohol,Valid,2-Propen-1-ol,Allyl Alcohol,107-18-6,,,C3H6O,Active
24075,Acrylic aldehyde,Valid,2-Propenal,Acrolein,107-02-8,,,C3H4O,Active
24075,Acrolein,Valid,2-Propenal,Acrolein,107-02-8,,,C3H4O,Active
24075,2-Propenal,Valid,2-Propenal,Acrolein,107-02-8,,,C3H4O,Active
24075,Acraldehyde,Valid,2-Propenal,Acrolein,107-02-8,,,C3H4O,Active
24075,Acrylaldehyde,Valid,2-Propenal,Acrolein,107-02-8,,,C3H4O,Active
52449,"1,3-Dichloropropene",Valid,"1-Propene, 1,3-dichloro-","1,3-Dichloropropene",542-75-6,,,C3H4Cl2,Active
157347,D-D mixture,Valid,"1-Propene, 1,3-dichloro-, mixture with 1,2-dichloropropane","1,3-Dichloro-1-propene mixture with 1,2-dichloropropane",8003-19-8,,,C3H6Cl2.C3H4Cl2,Active
157347,Dichloropropene-dichloropropane (mixture),Valid,"1-Propene, 1,3-dichloro-, mixture with 1,2-dichloropropane","1,3-Dichloro-1-propene mixture with 1,2-dichloropropane",8003-19-8,,,C3H6Cl2.C3H4Cl2,Active
157347,Vidden D,Trade Name,"1-Propene, 1,3-dichloro-, mixture with 1,2-dichloropropane","1,3-Dichloro-1-propene mixture with 1,2-dichloropropane",8003-19-8,,,C3H6Cl2.C3H4Cl2,Active
7401,"2,3-Dichloropropene",Valid,"1-Propene, 2,3-dichloro-","2,3-Dichloropropene",78-88-6,,,C3H4Cl2,Active
24109,3-Chloropropylene,Valid,"1-Propene, 3-chloro-",Allyl chloride,107-05-1,,,C3H5Cl,Active
24109,Chlorallylene,Valid,"1-Propene, 3-chloro-",Allyl chloride,107-05-1,,,C3H5Cl,Active
24109,Allyl chloride,Valid,"1-Propene, 3-chloro-",Allyl chloride,107-05-1,,,C3H5Cl,Active
24109,3-Chloropropene,Valid,"1-Propene, 3-chloro-",Allyl chloride,107-05-1,,,C3H5Cl,Active
243097,Dichloropropene,Valid,"1-Propene, dichloro-",Dichloropropene,26952-23-8,,,C3H4Cl2,Active
24182,Vinyl cyanide,Valid,2-Propenenitrile,Acrylonitrile,107-13-1,,,C3H3N,Active
24182,Acrylonitrile,Valid,2-Propenenitrile,Acrylonitrile,107-13-1,,,C3H3N,Active
24182,Ventox,Trade Name,2-Propenenitrile,Acrylonitrile,107-13-1,,,C3H3N,Active
24182,Cyanoethylene,Valid,2-Propenenitrile,Acrylonitrile,107-13-1,,,C3H3N,Active
24182,Fumigrain,Trade Name,2-Propenenitrile,Acrylonitrile,107-13-1,,,C3H3N,Active
24182,Propeneitrile,Misspelled,2-Propenenitrile,Acrylonitrile,107-13-1,,,C3H3N,Active
8458,Methyl-2-methyl-2-propenoate,Valid,"2-Propenoic acid, 2-methyl-, methyl ester",Methyl methacrylate,80-62-6,,,C5H8O2,Active
8458,Methyl methacrylate,Valid,"2-Propenoic acid, 2-methyl-, methyl ester",Methyl methacrylate,80-62-6,,,C5H8O2,Active
8458,Methacrylic acid methyl ester,Valid,"2-Propenoic acid, 2-methyl-, methyl ester",Methyl methacrylate,80-62-6,,,C5H8O2,Active
157362,Pyrethrins,Valid,Pyrethrins and Pyrethroids,Pyrethrins,8003-34-7,,,Unspecified,Active
13342,Leuocoline,Valid,Quinoline,Quinoline,91-22-5,,,C9H7N,Active
13342,Quinoline,Valid,Quinoline,Quinoline,91-22-5,,,C9H7N,Active
13342,1-Benzazine,Valid,Quinoline,Quinoline,91-22-5,,,C9H7N,Active
13342,Benzo(b)pyridine,Valid,Quinoline,Quinoline,91-22-5,,,C9H7N,Active
13342,Chinoleine,Valid,Quinoline,Quinoline,91-22-5,,,C9H7N,Active
13342,Leucol,Valid,Quinoline,Quinoline,91-22-5,,,C9H7N,Active
154401,Sodium selenite,Valid,"Selenious acid, monosodium salt",Sodium selenite (NaHSeO3),7782-82-3,,,HO3Se.Na,Active
167882,Sodium selenite,Valid,"Selenious acid, sodium salt (1:2)",Disodium selenite,10102-18-8,,,H2O3Se.2Na,Active
150359,Selenium oxide,Valid,Selenium oxide (SeO2),Selenium dioxide,7446-08-4,,,O2Se,Active
150359,Selenium dioxide,Valid,Selenium oxide (SeO2),Selenium dioxide,7446-08-4,,,O2Se,Active
206144,Ammonium silicofluoride,Valid,"Silicate(2-), hexafluoro-, ammonium (1:2)",Ammonium silicofluoride,16919-19-0,,,F6Si.2H4N,Active
206144,Ammonium fluosilicate,Valid,"Silicate(2-), hexafluoro-, ammonium (1:2)",Ammonium silicofluoride,16919-19-0,,,F6Si.2H4N,Active
205864,Zinc fluosilicate,Valid,"Silicate(2-), hexafluoro-, zinc (1:1)",Zinc silicofluoride,16871-71-9,,,F6Si.Zn,Active
205864,Zinc silicofluoride,Valid,"Silicate(2-), hexafluoro-, zinc (1:1)",Zinc silicofluoride,16871-71-9,,,F6Si.Zn,Active
149856,Natrium,Valid,Sodium,Sodium,7440-23-5,,,Na,Active
149856,Sodium,Valid,Sodium,Sodium,7440-23-5,,,Na,Active
39305,Sodium cyanide,Valid,Sodium cyanide (Na(CN)),Sodium cyanide,143-33-9,,,CNNa,Active
85589,Sodium bifluoride,Valid,Sodium fluoride (Na(HF2)),Sodium bifluoride,1333-83-1,,,F2H.Na,Active
152504,Villiaumite,Valid,Sodium fluoride (NaF),Sodium fluoride,7681-49-4,,,FNa,Active
152504,Sodium fluoride,Valid,Sodium fluoride (NaF),Sodium fluoride,7681-49-4,,,FNa,Active
82644,Sodium hydrate,Valid,Sodium hydroxide (Na(OH)),Sodium hydroxide,1310-73-2,,,HNaO,Active
82644,Sodium hydroxide,Valid,Sodium hydroxide (Na(OH)),Sodium hydroxide,1310-73-2,,,HNaO,Active
82644,Caustic soda,Valid,Sodium hydroxide (Na(OH)),Sodium hydroxide,1310-73-2,,,HNaO,Active
82644,Soda lye,Valid,Sodium hydroxide (Na(OH)),Sodium hydroxide,1310-73-2,,,HNaO,Active
205468,Sodium hydrogen sulfide,Valid,Sodium sulfide (Na(SH)),Sodium hydrosulfide,16721-80-5,,,HNaS,Active
205468,Sodium hydrosulfide,Valid,Sodium sulfide (Na(SH)),Sodium hydrosulfide,16721-80-5,,,HNaS,Active
155952,Antimony tribromide,Valid,"Stibine, tribromo-",Antimony tribromide,7789-61-9,,,Br3Sb,Active
166496,Antimony trichloride,Valid,"Stibine, trichloro-",Antimony trichloride,10025-91-9,,,Cl3Sb,Active
166496,Butter of antimony,Valid,"Stibine, trichloro-",Antimony trichloride,10025-91-9,,,Cl3Sb,Active
154740,Antimony fluoride,Valid,"Stibine, trifluoro-",Antimony trifluoride,7783-56-4,,,F3Sb,Active
154740,Antimony trifluoride,Valid,"Stibine, trifluoro-",Antimony trifluoride,7783-56-4,,,F3Sb,Active
2485,Strychnine,Valid,Strychnidin-10-one,Strychnine,57-24-9,,,C21H22N2O2,Active
153668,AMS,Valid,"Sulfamic acid, ammonium salt (1:1)",Ammonium sulfamate,7773-06-0,,,H3NO3S.H3N,Active
153668,Ammonium sulfamate,Valid,"Sulfamic acid, ammonium salt (1:1)",Ammonium sulfamate,7773-06-0,,,H3NO3S.H3N,Active
153668,Ammate,Trade Name,"Sulfamic acid, ammonium salt (1:1)",Ammonium sulfamate,7773-06-0,,,H3NO3S.H3N,Active
153668,Ammonium amidosulfate,Valid,"Sulfamic acid, ammonium salt (1:1)",Ammonium sulfamate,7773-06-0,,,H3NO3S.H3N,Active
193060,Cobalt sulfamate,Valid,"Sulfamic acid, cobalt(2+) salt (2:1)",Cobaltous sulfamate,14017-41-5,,,Co.2H3NO3S,Active
193060,Cobaltous sulfamate,Valid,"Sulfamic acid, cobalt(2+) salt (2:1)",Cobaltous sulfamate,14017-41-5,,,Co.2H3NO3S,Active
166405,Sulfur monochloride,Valid,Sulfur chloride (S2Cl2),Sulfur monochloride,10025-67-9,,,Cl2S2,Active
152405,Oil of Vitriol,Valid,Sulfuric acid,Sulfuric acid,7664-93-9,,,H2O4S,Active
152405,Oleum,Trade Name,Sulfuric acid,Sulfuric acid,7664-93-9,,,H2O4S,Active
152405,Sulfuric acid,Valid,Sulfuric acid,Sulfuric acid,7664-93-9,,,H2O4S,Active
153536,Copper sulfate,Valid,Sulfuric acid copper(2+) salt (1:1),Cupric sulfate,7758-98-7,,,Cu.H2O4S,Active
153536,Cupric sulfate,Valid,Sulfuric acid copper(2+) salt (1:1),Cupric sulfate,7758-98-7,,,Cu.H2O4S,Active
167106,Aluminum sulfate,Valid,"Sulfuric acid, aluminum salt (3:2)",Aluminum sulfate,10043-01-3,,,Al.3/2H2O4S,Active
167106,Alum,Valid,"Sulfuric acid, aluminum salt (3:2)",Aluminum sulfate,10043-01-3,,,Al.3/2H2O4S,Active
167221,Mohr's salt,Valid,"Sulfuric acid, ammonium iron(2+) salt (2:2:1)",Ferrous ammonium sulfate,10045-89-3,,,Fe.2H3N.2H2O4S,Active
167221,Ferrous ammonium sulfate,Valid,"Sulfuric acid, ammonium iron(2+) salt (2:2:1)",Ferrous ammonium sulfate,10045-89-3,,,Fe.2H3N.2H2O4S,Active
167221,Iron ammonium sulfate,Valid,"Sulfuric acid, ammonium iron(2+) salt (2:2:1)",Ferrous ammonium sulfate,10045-89-3,,,Fe.2H3N.2H2O4S,Active
200964,Ammonium nickel sulfate,Valid,"Sulfuric acid, ammonium nickel(2+) salt (2:2:1)",Nickel ammonium sulfate,15699-18-0,,,H3N.H2O4S.1/2Ni,Active
200964,Nickel ammonium sulfate,Valid,"Sulfuric acid, ammonium nickel(2+) salt (2:2:1)",Nickel ammonium sulfate,15699-18-0,,,H3N.H2O4S.1/2Ni,Active
167759,Chromic sulfate,Valid,"Sulfuric acid, chromium(3+) salt (3:2)",Chromium(III) sulfate,10101-53-8,,,Cr.3/2H2O4S,Active
152926,Green vitriol,Valid,"Sulfuric acid, iron(2+) salt (1:1)",Ferrous sulfate,7720-78-7,,,Fe.H2O4S,Active
152926,Ferrous sulfate,Valid,"Sulfuric acid, iron(2+) salt (1:1)",Ferrous sulfate,7720-78-7,,,Fe.H2O4S,Active
154336,Iron sulfate,Inaccurate,"Sulfuric acid, iron(2+) salt (1:1), heptahydrate",Ferrous sulfate heptahydrate,7782-63-0,,,Fe.H2O4S.7H2O,Active
154336,Iron protosulfate,Valid,"Sulfuric acid, iron(2+) salt (1:1), heptahydrate",Ferrous sulfate heptahydrate,7782-63-0,,,Fe.H2O4S.7H2O,Active
154336,Iron vitriol,Inaccurate,"Sulfuric acid, iron(2+) salt (1:1), heptahydrate",Ferrous sulfate heptahydrate,7782-63-0,,,Fe.H2O4S.7H2O,Active
166702,Iron sulfate,Valid,"Sulfuric acid, iron(3+) salt (3:2)",Ferric sulfate,10028-22-5,,,Fe.3/2H2O4S,Active
166702,Ferric persulfate,Valid,"Sulfuric acid, iron(3+) salt (3:2)",Ferric sulfate,10028-22-5,,,Fe.3/2H2O4S,Active
166702,Ferric sesquisulfate,Valid,"Sulfuric acid, iron(3+) salt (3:2)",Ferric sulfate,10028-22-5,,,Fe.3/2H2O4S,Active
166702,Ferric tersulfate,Valid,"Sulfuric acid, iron(3+) salt (3:2)",Ferric sulfate,10028-22-5,,,Fe.3/2H2O4S,Active
166702,Ferric sulfate,Valid,"Sulfuric acid, iron(3+) salt (3:2)",Ferric sulfate,10028-22-5,,,Fe.3/2H2O4S,Active
150383,Lead sulfate,Valid,"Sulfuric acid, lead(2+) salt (1:1)",Lead(II) sulfate,7446-14-2,,,H2O4S.Pb,Active
154609,Mercury sulfate,Valid,"Sulfuric acid, mercury(2+) salt (1:1)",Mercuric sulfate,7783-35-9,,,H2O4S.Hg,Active
154609,Mercuric sulfate,Valid,"Sulfuric acid, mercury(2+) salt (1:1)",Mercuric sulfate,7783-35-9,,,H2O4S.Hg,Active
154609,Mercury persulfate,Valid,"Sulfuric acid, mercury(2+) salt (1:1)",Mercuric sulfate,7783-35-9,,,H2O4S.Hg,Active
155366,Nickelous sulfate,Valid,"Sulfuric acid, nickel(2+) salt (1:1)",Nickel sulfate,7786-81-4,,,H2O4S.Ni,Active
155366,Nickel sulfate,Valid,"Sulfuric acid, nickel(2+) salt (1:1)",Nickel sulfate,7786-81-4,,,H2O4S.Ni,Active
166801,Thallium sulfate,Valid,"Sulfuric acid, thallium salt (1:?)",Thallium sulfate,10031-59-1,,,H2O4S.xTl,Active
150417,Thallium sulfate,Valid,"Sulfuric acid, thallium(1+) salt (1:2)",Thallium(I) sulfate,7446-18-6,,,H2O4S.2Tl,Active
153189,Zinc vitriol,Valid,"Sulfuric acid, zinc salt (1:1)",Zinc sulfate,7733-02-0,,,H2O4S.Zn,Active
153189,Zinc sulfate,Valid,"Sulfuric acid, zinc salt (1:1)",Zinc sulfate,7733-02-0,,,H2O4S.Zn,Active
153189,White copperas,Valid,"Sulfuric acid, zinc salt (1:1)",Zinc sulfate,7733-02-0,,,H2O4S.Zn,Active
153189,White vitriol,Valid,"Sulfuric acid, zinc salt (1:1)",Zinc sulfate,7733-02-0,,,H2O4S.Zn,Active
196519,Disulfatozirconic acid,Valid,"Sulfuric acid, zirconium(4+) salt (2:1)",Zirconium sulfate,14644-61-2,,,H2O4S.1/2Zr,Active
196519,Zirconium sulfate,Valid,"Sulfuric acid, zirconium(4+) salt (2:1)",Zirconium sulfate,14644-61-2,,,H2O4S.1/2Zr,Active
100073,Omite,Trade Name,"Sulfurous acid, 2-[4-(1,1-dimethylethyl)phenoxy]cyclohexyl 2-propynyl ester",Propargite,2312-35-8,,,C19H26O4S,Active
100073,Propargite,Valid,"Sulfurous acid, 2-[4-(1,1-dimethylethyl)phenoxy]cyclohexyl 2-propynyl ester",Propargite,2312-35-8,,,C19H26O4S,Active
169102,Ammonium bisulfite,Valid,"Sulfurous acid, ammonium salt (1:1)",Ammonium bisulfite,10192-30-0,,,H3N.H2O3S,Active
169102,Ammonium sulfite,Inaccurate,"Sulfurous acid, ammonium salt (1:1)",Ammonium bisulfite,10192-30-0,,,H3N.H2O3S,Active
169219,Ammonium sulfite,Valid,"Sulfurous acid, ammonium salt (1:2)",Ammonium sulfite,10196-04-0,,,H3N.1/2H2O3S,Active
151993,Sodium hydrogen sulfite,Valid,"Sulfurous acid, sodium salt (1:1)",Sodium bisulfite,7631-90-5,,,H2O3S.Na,Active
151993,Sodium bisulfite,Valid,"Sulfurous acid, sodium salt (1:1)",Sodium bisulfite,7631-90-5,,,H2O3S.Na,Active
151993,Sodium acid sulfite,Valid,"Sulfurous acid, sodium salt (1:1)",Sodium bisulfite,7631-90-5,,,H2O3S.Na,Active
754994,"2,4,5-T amines",Unknown,"2,4,5-T amines -- CWA 311",,,,E754994,,Active
755009,"2,4,5-T esters",Unknown,"2,4,5-T esters -- CWA 311",,,,E755009,,Active
755017,"2,4,5-T salts",Unknown,"2,4,5-T salts -- CWA 311",,,,E755017,,Active
755025,"2,4,5-TP esters",Unknown,"2,4,5-TP esters -- CWA 311",,,,E755025,,Active
92197,Ammonium sulfocyanide,Valid,"Thiocyanic acid, ammonium salt (1:1)",Ammonium thiocyanate,1762-95-4,,,CHNS.H3N,Active
92197,Ammonium rhodanide,Valid,"Thiocyanic acid, ammonium salt (1:1)",Ammonium thiocyanate,1762-95-4,,,CHNS.H3N,Active
92197,Ammonium thiocyanate,Valid,"Thiocyanic acid, ammonium salt (1:1)",Ammonium thiocyanate,1762-95-4,,,CHNS.H3N,Active
92197,Ammonium sulfocyanate,Valid,"Thiocyanic acid, ammonium salt (1:1)",Ammonium thiocyanate,1762-95-4,,,CHNS.H3N,Active
57281,Lead sulfocyanate,Valid,"Thiocyanic acid, lead(2+) salt (2:1)",Lead(II) thiocyanate,592-87-0,,,CHNS.1/2Pb,Active
57281,Lead thiocyanate,Valid,"Thiocyanic acid, lead(2+) salt (2:1)",Lead(II) thiocyanate,592-87-0,,,CHNS.1/2Pb,Active
57273,Mercuric thiocyanate,Valid,"Thiocyanic acid, mercury(2+) salt (2:1)",Mercuric thiocyanate,592-85-8,,,CHNS.1/2Hg,Active
57273,Mercuric sulfocyanate,Valid,"Thiocyanic acid, mercury(2+) salt (2:1)",Mercuric thiocyanate,592-85-8,,,CHNS.1/2Hg,Active
57273,Mercuric sulfocyanide,Valid,"Thiocyanic acid, mercury(2+) salt (2:1)",Mercuric thiocyanate,592-85-8,,,CHNS.1/2Hg,Active
57273,Mercury thiocyanate,Valid,"Thiocyanic acid, mercury(2+) salt (2:1)",Mercuric thiocyanate,592-85-8,,,CHNS.1/2Hg,Active
154542,Ammonium hyposulfite,Valid,"Thiosulfuric acid (H2S2O3), ammonium salt (1:2)",Ammonium thiosulfate,7783-18-8,,,H3N.1/2H2O3S2,Inactive
154542,Ammonium thiosulfate,Valid,"Thiosulfuric acid (H2S2O3), ammonium salt (1:2)",Ammonium thiosulfate,7783-18-8,,,H3N.1/2H2O3S2,Inactive
156919,Toxaphene,Trade Name,Toxaphene,Toxaphene,8001-35-2,,,Unspecified,Active
156919,Camphechlor,Valid,Toxaphene,Toxaphene,8001-35-2,,,Unspecified,Active
153460,"Sodium phosphate, tribasic",Valid,"Triphosphoric acid, sodium salt (1:5)",Sodium tripolyphosphate,7758-29-4,,,H5O10P3.5Na,Active
52035,Uranyl acetate,Valid,"Uranium, bis(acetato-.kappa.O)dioxo-, (T-4)-",Uranyl acetate,541-09-3,,,C4H6O6U,Active
167874,Uranyl nitrate,Valid,"Uranium, bis(nitrato-.kappa.O)dioxo-, (T-4)-",Uranyl nitrate,10102-06-4,,,N2O8U,Active
271486,Uranyl nitrate,Valid,"Uranium, bis(nitrato-.kappa.O,.kappa.O')dioxo-, (OC-6-11)-","bis(Nitrato-O,O')dioxouranium",36478-76-9,,,N2O8U,Active
42606,DMU,Valid,"Urea, N'-(3,4-dichlorophenyl)-N,N-dimethyl-",Diuron,330-54-1,,,C9H10Cl2N2O,Active
42606,Diuron,Valid,"Urea, N'-(3,4-dichlorophenyl)-N,N-dimethyl-",Diuron,330-54-1,,,C9H10Cl2N2O,Active
42606,DCMU,Valid,"Urea, N'-(3,4-dichlorophenyl)-N,N-dimethyl-",Diuron,330-54-1,,,C9H10Cl2N2O,Active
83113,Vanadium pentoxide,Valid,Vanadium oxide (V2O5),Vanadium pentoxide,1314-62-1,,,O5V2,Active
83113,Vanadic acid anhydride,Valid,Vanadium oxide (V2O5),Vanadium pentoxide,1314-62-1,,,O5V2,Active
83113,Vanadic anhydride,Valid,Vanadium oxide (V2O5),Vanadium pentoxide,1314-62-1,,,O5V2,Active
246876,Vanadium sulfate,Inaccurate,"Vanadium, oxo[sulfato(2-)-.kappa.O]-",Vanadyl sulfate,27774-13-6,,,O5SV,Active
246876,Vanadic sulfate,Valid,"Vanadium, oxo[sulfato(2-)-.kappa.O]-",Vanadyl sulfate,27774-13-6,,,O5SV,Active
246876,Vanadyl sulfate,Valid,"Vanadium, oxo[sulfato(2-)-.kappa.O]-",Vanadyl sulfate,27774-13-6,,,O5SV,Active
152710,Zinc bromide,Valid,Zinc bromide (ZnBr2),Zinc bromide,7699-45-8,,,Br2Zn,Active
152215,Zinc chloride,Valid,Zinc chloride (ZnCl2),Zinc chloride,7646-85-7,,,Cl2Zn,Active
152215,Butter of zinc,Valid,Zinc chloride (ZnCl2),Zinc chloride,7646-85-7,,,Cl2Zn,Active
54213,Zinc cyanide,Valid,Zinc cyanide (Zn(CN)2),Zinc cyanide,557-21-1,,,C2N2Zn,Active
154674,Zinc fluoride,Valid,Zinc fluoride (ZnF2),Zinc difluoride,7783-49-5,,,F2Zn,Active
83154,Zinc phosphide,Valid,Zinc phosphide (Zn3P2),Zinc phosphide,1314-84-7,,,P2Zn3,Active
196451,Zinc ammonium chloride,Valid,"Zincate(2-), tetrachloro-, ammonium (1:2), (T-4)-",Ammonium tetrachlorozincate,14639-97-5,,,Cl4Zn.2H4N,Active
196469,Zinc ammonium chloride,Valid,"Zincate(3-), pentachloro-, ammonium (1:3)",Ammonium pentachlorozincate,14639-98-6,,,Cl5Zn.3H4N,Active
206250,Zirconium potassium fluoride,Valid,"Zirconate(2-), hexafluoro-, potassium (1:2), (OC-6-11)-",Zirconium potassium fluoride,16923-95-8,,,F6Zr.2K,Active
166595,Zirconium tetrachloride,Valid,"Zirconium chloride (ZrCl4), (T-4)-",Zirconium tetrachloride,10026-11-6,,,Cl4Zr,Active
155242,"Sodium phosphate, tribasic",Valid,"Metaphosphoric acid (H3P3O9), sodium salt (1:3)",Sodium trimetaphosphate,7785-84-4,,,H3O9P3.3Na,Active
168385,"Sodium phosphate, tribasic",Valid,"Metaphosphoric acid (H6P6O18), sodium salt (1:6)",Sodium hexametaphosphate,10124-56-8,,,H6O18P6.6Na,Active
